gloss	type	class_	ok	change_to	explanation
conj	grammatical	null	0	specific_lexical_gloss	conjunction
dir	grammatical	case	1		direct object
ins	grammatical	case	1		instrumental
gen	grammatical	case	1		genitive
nom	grammatical	case	1		nominative
loc	grammatical	case	1		locative
abl	grammatical	case	1		ablative
GEN	grammatical	case	0	gen	duplicate
acc	grammatical	case	1		accusative
inst	grammatical	case	0	ins	duplicate
voc	grammatical	case	1		vocative
dat	grammatical	case	1		dative
def	grammatical	definiteness	1		definite article
sprl	grammatical	degree	1		superlative
sup	grammatical	degree	0	sprl	duplicate
comp	grammatical	POS	1		complementizer
cmpr	grammatical	degree	1		comparative marker
n	grammatical	gender	1		neutral
m	grammatical	gender	1		masculine
f	grammatical	gender	1		feminine
nsg	grammatical	gender_number	0	n.sg	combination
msg	grammatical	gender_number	0	m.sg	combination
fsg	grammatical	gender_number	0	f.sg	combination
q	grammatical	interrogative	1		polar question marker
qp	grammatical	interrogative	0	q	polar question marker
subj	grammatical	mood	1		subjunctive
imp	grammatical	mood	1		imperative
proh	grammatical	mood	1		prohibitive
cond	grammatical	mood	1		conditional
oblg	grammatical	mood	1		obligative
opt	grammatical	mood	1		optative
int	grammatical	None	1		internal (сам)
neg	grammatical	None	1		negation marker (excluding NO as an answer)
refl	grammatical	pronoun_semantics	1		reflexive
poss3	grammatical	pronoun_semantics	0	poss.3	combination
prs2sg	grammatical	personal_number	0	prs.2.sg	combination
carit	grammatical	case	1		caritive
partititve	grammatical	None	0	prtv	partitive
caus	grammatical	word_formation	1		causative
ptc	grammatical	POS	0	ptcp	duplicate
poss	grammatical	pronoun_semantics	1		possessive marker
sg	grammatical	number	1		singular
pl	grammatical	number	1		plural
SG	grammatical	number	0	sg	duplicate
(pl)	grammatical	number	0	pl	duplicate
foc	grammatical	particle_semantics	1		focus
deix	grammatical	particle_semantics	1		deitic
contop	grammatical	particle_semantics	1		contrasted topic
dem	grammatical	pronoun_semantics	1		demonstrative
dem2	grammatical	pronoun_semantics	1		demonstrative
cncs2	grammatical	particle_semantics	1		concessive (maybe numbers are not needed?)
emph	grammatical	particle_semantics	1		emphatic
prox	grammatical	particle_semantics	1		proximate (deixis)
cncs1	grammatical	particle_semantics	1		concessive (maybe numbers are not needed?)
top	grammatical	particle_semantics	1		topic
cncs	grammatical	particle_semantics	1		concessive
dem1	grammatical	pronoun_semantics	1		demonstrative
dem3	grammatical	pronoun_semantics	1		demonstrative
dist	grammatical	particle_semantics	1		distant (deixis)
contr	grammatical	particle_semantics	1		constrastive
juxt	grammatical	particle_semantics	1		juxtapositional
2sg(2pl)	grammatical	person_number	0	2.sg	combination
3sg	grammatical	person_number	0	3.sg	combination
2pl	grammatical	person_number	0	2.pl	combination
2sg	grammatical	person_number	0	2.sg	combination
1pl	grammatical	person_number	0	1.pl	combination
3SG	grammatical	person_number	0	3.sg	combination
ptcl	grammatical	POS	0	part	duplicate
(prt)	grammatical	POS	0	part	duplicate
interj	grammatical	POS	0	intj	duplicate
intj	grammatical	POS	1		interjection
pron	grammatical	POS	1		pronoun ? needed? inconsistencies: sometimes annotated and sometimes not
aux	grammatical	POS	1		auxilary verb
prep	grammatical	POS	0	specific_lexical_gloss	preposition
prt	grammatical	POS	0	part	duplicate
cop	grammatical	POS	1		copula verb
part	grammatical	POS	1		particle
auxfut	grammatical	tense	0	aux.fut	combination
impf	grammatical	tense	1		imperfect (past)
pastp	grammatical	tense	0	pst.ptcp	combination
psr	grammatical	tense	1	prs	typo
prs	grammatical	tense	1		present tense
PRS	grammatical	tense	0	prs	duplicate
fut	grammatical	tense	1		future tense
pst	grammatical	tense	1		past tense
pres	grammatical	tense	0	prs	duplicate
auxcond	grammatical	tense	0	aux.cond	combination
pred	grammatical	verb_form	1		predicative
ptcp	grammatical	verb_form	1		participle
pts	grammatical	verb_form	0	ptcp	typo
ger	grammatical	verb_form	1		gerundive
inf	grammatical	verb_form	1		infinitive
pass	grammatical	word_formation	1		passive marker
sbst	grammatical	word_formation	1		nominalizer
verb	grammatical	word_formation	0	vbz	verbalizer
adv	grammatical	word_formation	0	advr	adverbializer
yes	lexical	answering_particle	1		
no	lexical	answering_particle	1		
and	lexical	conjunction			
but	lexical	conjunction			
bet	lexical	verb		verb	
oh	grammatical	interjection	0	intj	interjection
who	lexical	interrogative			
how	lexical	interrogative			
why	lexical	interrogative			
miracle	lexical	noun			
put	lexical	verb			
background	lexical	noun			
price	lexical	noun			
also	lexical	adverb			
which	lexical	interrogative			
cholera	lexical	noun			
everyone	lexical	quantor			
think	lexical	verb			
understand	lexical	verb			
important	lexical	adjective			
any	lexical	NPI			
lead	lexical	verb			
big	lexical	adjective			
chance	lexical	noun			
about	lexical	preposition			
quiet	lexical	adjective			
joke	lexical	verb			
sorely	lexical	adverb			
baloney	lexical	noun			
different	lexical	adjective			
again	lexical	adverb			
story	lexical	noun			
curse	lexical	noun			
something	lexical	pronoun			
good	lexical	adjective			
suffice	lexical	verb			
order	lexical	noun			
difference	lexical	noun			
okay	lexical	None	0	alright	russian ladno
time	lexical	noun			
end	lexical	noun			
healthy	lexical	adjective			
wait	lexical	verb			
hold	lexical	verb			
relevance	lexical	noun			
this	lexical	pronoun	?	dem.prox	
essence	lexical	noun			
must	lexical	verb			
talk	lexical	verb			
certainty	lexical	noun			
ridiculous	lexical	adjective			
quite	lexical	adverb			
worry	lexical	verb			
keep	lexical	verb			
straight	lexical	adjective			
repentance	lexical	noun			
answer	lexical	noun			
like	lexical	conjunction			
become	lexical	verb			
blabber	lexical	verb			
far	lexical	adjective			
holy	lexical	adjective			
judge	lexical	verb			
baptize	lexical	verb	1		
worth	lexical	verb	0	be_worth	
condition	lexical	noun			
neither	lexical	NPI			
